"Region","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Measles","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2000,5,9,"B","Deaths","Lower",47964,15950,47003,27277,99981,76321,124684,17390,37176,28469,109958,48645,38539,73610,567,3772
"World",2000,5,9,"B","Deaths","Point",57737,19173,51637,36710,105893,81802,134544,19121,40244,30113,115353,53273,41132,79095,618,3890
"World",2000,5,9,"B","Deaths","Upper",68795,22492,60188,42457,112931,88314,151495,21270,43844,31995,121534,58670,44167,85149,665,4009
"World",2000,5,9,"B","Fraction","Lower",0.0552,0.01845,0.05395,0.03122,0.11561,0.08809,0.14372,0.01982,0.04273,0.03267,0.12615,0.05552,0.04405,0.0844,0.00064,0.00428
"World",2000,5,9,"B","Fraction","Point",0.06634,0.02203,0.05933,0.04218,0.12167,0.09399,0.15459,0.02197,0.04624,0.0346,0.13254,0.06121,0.04726,0.09088,0.00071,0.00447
"World",2000,5,9,"B","Fraction","Upper",0.07861,0.02586,0.06859,0.04853,0.12766,0.10027,0.17177,0.02425,0.04999,0.03672,0.13866,0.06718,0.05051,0.09757,0.00077,0.00464
"World",2000,5,9,"B","Rate","Lower",0.39429,0.13112,0.38641,0.22422,0.8219,0.62747,1.02503,0.14296,0.30562,0.23404,0.90402,0.39988,0.3168,0.60511,0.00466,0.031
"World",2000,5,9,"B","Rate","Point",0.47463,0.15761,0.42447,0.30178,0.87048,0.67245,1.10601,0.15718,0.33082,0.24754,0.94825,0.43793,0.33812,0.6502,0.00508,0.03198
"World",2000,5,9,"B","Rate","Upper",0.56555,0.1849,0.49477,0.34901,0.92827,0.72598,1.24535,0.17485,0.36041,0.263,0.99904,0.48231,0.36306,0.69997,0.00547,0.03296
"World",2001,5,9,"B","Deaths","Lower",49153,17134,45434,27745,98329,76622,118775,16973,35630,27752,102319,46117,37393,70119,2151,1959
"World",2001,5,9,"B","Deaths","Point",59296,20463,49799,36587,103953,82072,128190,18699,38706,29411,107372,50339,39896,75116,2246,2051
"World",2001,5,9,"B","Deaths","Upper",69118,23839,58342,41859,110557,88590,144480,20829,42058,31347,113264,55234,42773,80767,2335,2139
"World",2001,5,9,"B","Fraction","Lower",0.05824,0.0202,0.05387,0.03282,0.11716,0.09123,0.1415,0.02005,0.04231,0.0328,0.12078,0.05442,0.04415,0.08287,0.00252,0.00229
"World",2001,5,9,"B","Fraction","Point",0.07024,0.02424,0.05899,0.04334,0.12314,0.09722,0.15185,0.02215,0.04585,0.03484,0.12719,0.05963,0.04726,0.08898,0.00266,0.00243
"World",2001,5,9,"B","Fraction","Upper",0.08148,0.02798,0.0683,0.04912,0.12919,0.10368,0.16983,0.02451,0.0496,0.03703,0.13354,0.06504,0.05042,0.09539,0.00279,0.00255
"World",2001,5,9,"B","Rate","Lower",0.40703,0.14189,0.37624,0.22976,0.81426,0.63451,0.98362,0.14055,0.29506,0.22982,0.84735,0.38189,0.30964,0.58065,0.01781,0.01623
"World",2001,5,9,"B","Rate","Point",0.49103,0.16946,0.41238,0.30298,0.86084,0.67964,1.06154,0.15484,0.32052,0.24356,0.88915,0.41686,0.33038,0.62203,0.0186,0.01699
"World",2001,5,9,"B","Rate","Upper",0.57235,0.1974,0.48311,0.34663,0.91548,0.73354,1.19641,0.1725,0.34829,0.25957,0.9379,0.45738,0.3542,0.66877,0.01934,0.01771
"World",2002,5,9,"B","Deaths","Lower",39755,17922,44515,27893,96295,75103,113450,16853,34269,27473,96761,44843,36381,68048,555,2181
"World",2002,5,9,"B","Deaths","Point",49873,21265,48145,36729,101531,80517,123583,18636,37289,29054,101628,48745,38782,72639,609,2312
"World",2002,5,9,"B","Deaths","Upper",63884,24588,56133,41320,107852,86663,139429,20762,40601,30891,107279,53031,41493,78076,653,2439
"World",2002,5,9,"B","Fraction","Lower",0.04901,0.02201,0.05479,0.03424,0.11918,0.09289,0.13978,0.02075,0.04233,0.03372,0.11859,0.05507,0.04463,0.08357,0.00068,0.00267
"World",2002,5,9,"B","Fraction","Point",0.06147,0.02621,0.05934,0.04527,0.12514,0.09924,0.15232,0.02297,0.04596,0.03581,0.12526,0.06008,0.0478,0.08953,0.00075,0.00285
"World",2002,5,9,"B","Fraction","Upper",0.07795,0.03,0.06884,0.05105,0.13117,0.10557,0.16959,0.02551,0.04984,0.03804,0.13186,0.06535,0.05104,0.09579,0.00081,0.00302
"World",2002,5,9,"B","Rate","Lower",0.33015,0.14885,0.36971,0.23164,0.79977,0.62375,0.94221,0.13997,0.28461,0.22817,0.80363,0.37243,0.30211,0.56512,0.00461,0.01811
"World",2002,5,9,"B","Rate","Point",0.4142,0.17661,0.39985,0.30504,0.84322,0.6687,1.02637,0.15478,0.30969,0.2413,0.84403,0.40483,0.32209,0.60327,0.00505,0.0192
"World",2002,5,9,"B","Rate","Upper",0.53056,0.20419,0.46616,0.34315,0.89561,0.71966,1.15794,0.17243,0.3372,0.25655,0.89088,0.44043,0.3446,0.64842,0.00543,0.02025
"World",2003,5,9,"B","Deaths","Lower",42916,18375,43497,28034,92697,75065,109427,16955,32571,27240,92287,43793,35514,66086,3384,3641
"World",2003,5,9,"B","Deaths","Point",53888,21760,46763,36459,97776,80323,118912,18766,35522,28829,97056,47547,37900,70420,3483,5188
"World",2003,5,9,"B","Deaths","Upper",66629,25310,54564,40388,103869,86505,133997,20887,38737,30672,102611,51706,40491,75778,3606,7213
"World",2003,5,9,"B","Fraction","Lower",0.0539,0.02299,0.05422,0.03484,0.11661,0.09408,0.13691,0.02115,0.04083,0.03391,0.11494,0.05433,0.0442,0.08215,0.00417,0.00456
"World",2003,5,9,"B","Fraction","Point",0.06731,0.02718,0.05841,0.04554,0.12213,0.10033,0.14853,0.02344,0.04437,0.03601,0.12123,0.05939,0.04734,0.08796,0.00435,0.00648
"World",2003,5,9,"B","Fraction","Upper",0.08216,0.03136,0.06772,0.05043,0.12796,0.10643,0.16552,0.02597,0.04826,0.03828,0.12781,0.06445,0.05044,0.09393,0.00452,0.00897
"World",2003,5,9,"B","Rate","Lower",0.35587,0.15238,0.3607,0.23246,0.76875,0.62251,0.90748,0.14061,0.27011,0.22589,0.76532,0.36317,0.29451,0.54801,0.02806,0.03019
"World",2003,5,9,"B","Rate","Point",0.44687,0.18045,0.38779,0.30234,0.81082,0.66609,0.9861,0.15562,0.29457,0.23907,0.80485,0.39429,0.31429,0.58397,0.02888,0.04302
"World",2003,5,9,"B","Rate","Upper",0.55252,0.20988,0.45242,0.33488,0.86132,0.71728,1.11111,0.1732,0.32122,0.25435,0.85085,0.42877,0.33575,0.6284,0.0299,0.05981
"World",2004,5,9,"B","Deaths","Lower",41232,18763,42383,26816,88363,74706,105973,16993,30796,27082,88365,43197,34983,64499,21516,3212
"World",2004,5,9,"B","Deaths","Point",51948,21894,45633,35596,93253,79823,114477,18764,33560,28641,93221,46822,37185,68676,24281,4711
"World",2004,5,9,"B","Deaths","Upper",63673,25398,53598,39125,98959,86240,129327,20852,36627,30468,98714,51039,39717,73814,27337,6572
"World",2004,5,9,"B","Fraction","Lower",0.05147,0.02355,0.05321,0.03352,0.11159,0.09405,0.13313,0.02121,0.03861,0.03382,0.1105,0.05388,0.04368,0.08043,0.02694,0.00404
"World",2004,5,9,"B","Fraction","Point",0.06506,0.02742,0.05715,0.04458,0.11679,0.09997,0.14337,0.0235,0.04203,0.03587,0.11675,0.05864,0.04657,0.08601,0.03041,0.0059
"World",2004,5,9,"B","Fraction","Upper",0.07875,0.03153,0.06668,0.04866,0.12213,0.10642,0.15999,0.02599,0.04563,0.03811,0.12338,0.06356,0.0496,0.09176,0.03381,0.00822
"World",2004,5,9,"B","Rate","Lower",0.34063,0.15501,0.35016,0.22155,0.7301,0.61721,0.87556,0.14039,0.25443,0.22375,0.73006,0.35689,0.28902,0.53289,0.17776,0.02653
"World",2004,5,9,"B","Rate","Point",0.42919,0.18088,0.37701,0.29408,0.77044,0.65948,0.94578,0.15502,0.27726,0.23663,0.77017,0.38684,0.30721,0.56739,0.20061,0.03892
"World",2004,5,9,"B","Rate","Upper",0.52606,0.20982,0.44279,0.32323,0.81753,0.71246,1.06847,0.17228,0.3026,0.25171,0.81553,0.42166,0.32814,0.60984,0.22584,0.0543
"World",2005,5,9,"B","Deaths","Lower",37784,18606,41454,26135,84140,71201,102191,16853,29137,26648,85445,42208,33887,62829,6122,2757
"World",2005,5,9,"B","Deaths","Point",46608,21895,44579,34499,88699,76267,110661,18618,31733,28141,90292,45886,36040,66804,6314,4585
"World",2005,5,9,"B","Deaths","Upper",56579,25347,52449,38073,94119,82561,123373,20783,34624,29962,95764,50056,38425,71851,6507,6772
"World",2005,5,9,"B","Fraction","Lower",0.05025,0.02468,0.05527,0.03439,0.1126,0.09539,0.13586,0.02237,0.03882,0.03521,0.11372,0.05607,0.04488,0.0832,0.00801,0.00366
"World",2005,5,9,"B","Fraction","Point",0.06201,0.02913,0.05931,0.0459,0.11801,0.10147,0.14723,0.02477,0.04222,0.03744,0.12013,0.06105,0.04795,0.08888,0.0084,0.0061
"World",2005,5,9,"B","Fraction","Upper",0.07477,0.03345,0.06962,0.05076,0.12316,0.10814,0.16194,0.02745,0.04578,0.03981,0.12657,0.06618,0.05101,0.09475,0.0087,0.00896
"World",2005,5,9,"B","Rate","Lower",0.31147,0.15337,0.34173,0.21545,0.69368,0.587,0.84252,0.13892,0.24019,0.21967,0.70439,0.34795,0.27936,0.51794,0.05046,0.02273
"World",2005,5,9,"B","Rate","Point",0.38421,0.18049,0.36748,0.28439,0.73117,0.62869,0.91222,0.15347,0.26159,0.23197,0.74431,0.37826,0.29709,0.55069,0.05205,0.03779
"World",2005,5,9,"B","Rate","Upper",0.46638,0.20894,0.43231,0.31388,0.77581,0.68053,1.01699,0.17132,0.28542,0.247,0.78938,0.41264,0.31677,0.59228,0.05364,0.05583
"World",2006,5,9,"B","Deaths","Lower",33958,18870,40841,25739,80994,68990,100362,16940,27926,26596,83740,41698,33696,62169,1244,4274
"World",2006,5,9,"B","Deaths","Point",42879,21703,44145,33817,85414,74105,108142,18665,30428,28166,88488,45338,35771,66163,1310,7444
"World",2006,5,9,"B","Deaths","Upper",54785,24982,52139,37588,90680,80272,121186,20850,33226,29994,94092,49433,38145,71164,1384,10960
"World",2006,5,9,"B","Fraction","Lower",0.04631,0.02562,0.05555,0.03484,0.11121,0.09507,0.137,0.02293,0.03813,0.03617,0.11471,0.05692,0.04575,0.08465,0.00168,0.00587
"World",2006,5,9,"B","Fraction","Point",0.05858,0.02965,0.06031,0.0462,0.11669,0.10124,0.14774,0.0255,0.04157,0.03848,0.12089,0.06194,0.04887,0.09039,0.00179,0.01017
"World",2006,5,9,"B","Fraction","Upper",0.07358,0.03377,0.07025,0.051,0.12185,0.10822,0.16316,0.02826,0.04527,0.04098,0.12779,0.06703,0.05201,0.09651,0.0019,0.01492
"World",2006,5,9,"B","Rate","Lower",0.27908,0.15509,0.3357,0.21156,0.66576,0.56701,0.82494,0.13924,0.22952,0.2186,0.68831,0.3427,0.27695,0.51098,0.01022,0.03513
"World",2006,5,9,"B","Rate","Point",0.35243,0.17838,0.36284,0.27795,0.70204,0.60908,0.88884,0.15341,0.2501,0.2315,0.7273,0.37265,0.29401,0.54381,0.01077,0.06119
"World",2006,5,9,"B","Rate","Upper",0.45024,0.20532,0.42852,0.30894,0.74528,0.65971,0.996,0.17135,0.27309,0.24651,0.77334,0.40629,0.31351,0.58485,0.01138,0.09008
"World",2007,5,9,"B","Deaths","Lower",19285,18420,39648,25581,77204,67025,97835,17055,26488,26403,81005,40610,32751,60458,1128,3705
"World",2007,5,9,"B","Deaths","Point",24955,21204,42902,33394,81393,72427,105529,18794,28914,28018,85699,44249,34852,64440,1195,6570
"World",2007,5,9,"B","Deaths","Upper",32803,24510,50407,37390,86580,78397,117921,20957,31594,29901,91120,48292,37154,69355,1263,9563
"World",2007,5,9,"B","Fraction","Lower",0.02763,0.02638,0.0566,0.03643,0.11195,0.0974,0.14184,0.0243,0.03817,0.03783,0.1168,0.05864,0.04701,0.08684,0.00161,0.00538
"World",2007,5,9,"B","Fraction","Point",0.03593,0.03053,0.06177,0.04808,0.11719,0.10428,0.15194,0.02706,0.04163,0.04034,0.12339,0.06371,0.05018,0.09278,0.00172,0.00946
"World",2007,5,9,"B","Fraction","Upper",0.04713,0.03483,0.0718,0.05367,0.12254,0.11135,0.16654,0.03005,0.04523,0.04287,0.13027,0.06891,0.05337,0.09914,0.00184,0.01372
"World",2007,5,9,"B","Rate","Lower",0.15792,0.15084,0.32464,0.20946,0.63223,0.54886,0.80111,0.13965,0.2169,0.2162,0.66333,0.33254,0.26817,0.49506,0.00924,0.03034
"World",2007,5,9,"B","Rate","Point",0.20434,0.17363,0.35129,0.27344,0.66647,0.59305,0.8641,0.15389,0.23675,0.22942,0.70173,0.36233,0.28538,0.52765,0.00978,0.0538
"World",2007,5,9,"B","Rate","Upper",0.26861,0.20069,0.41276,0.30615,0.7089,0.64188,0.96547,0.17159,0.25869,0.24483,0.74613,0.39541,0.30422,0.56788,0.01034,0.07831
"World",2008,5,9,"B","Deaths","Lower",18735,17973,39426,24489,73665,64690,94977,16915,24815,25798,77530,38170,30779,57445,23786,2884
"World",2008,5,9,"B","Deaths","Point",26367,20459,42078,32268,77630,69820,102852,18745,27256,27443,82233,41661,32761,61378,27228,4082
"World",2008,5,9,"B","Deaths","Upper",39020,23501,49573,35018,82829,75839,115172,20997,29871,29365,87615,45629,35057,66201,32552,5321
"World",2008,5,9,"B","Fraction","Lower",0.02676,0.0257,0.05642,0.03497,0.10668,0.09362,0.13601,0.02425,0.03584,0.03692,0.11143,0.05496,0.04405,0.08258,0.03418,0.00413
"World",2008,5,9,"B","Fraction","Point",0.03798,0.02947,0.06061,0.04648,0.11182,0.10057,0.14815,0.027,0.03926,0.03953,0.11845,0.06001,0.04719,0.08841,0.03922,0.00588
"World",2008,5,9,"B","Fraction","Upper",0.05561,0.03347,0.07052,0.05048,0.1169,0.10747,0.16322,0.02998,0.04276,0.04223,0.12495,0.06495,0.05025,0.09435,0.0462,0.00765
"World",2008,5,9,"B","Rate","Lower",0.15274,0.14655,0.32144,0.19966,0.60065,0.52747,0.7744,0.13791,0.20232,0.21034,0.63211,0.31121,0.25094,0.46838,0.19394,0.02351
"World",2008,5,9,"B","Rate","Point",0.21499,0.16682,0.34309,0.26311,0.63297,0.56929,0.83862,0.15284,0.22224,0.22376,0.6705,0.33969,0.26712,0.50045,0.22201,0.03328
"World",2008,5,9,"B","Rate","Upper",0.31814,0.19161,0.40414,0.2855,0.67523,0.61827,0.93897,0.17119,0.24353,0.23942,0.71431,0.372,0.28581,0.53976,0.26538,0.04338
"World",2009,5,9,"B","Deaths","Lower",24514,17024,38332,24131,69778,63548,92550,17532,23327,26490,74416,39388,30954,55848,525,3037
"World",2009,5,9,"B","Deaths","Point",32735,19591,41844,31249,73694,68819,100458,19327,25687,28211,79116,42808,33013,59717,568,3686
"World",2009,5,9,"B","Deaths","Upper",45468,22247,48974,34409,78692,74713,112329,21589,28253,30168,84535,46757,35350,64464,616,4379
"World",2009,5,9,"B","Fraction","Lower",0.03698,0.02586,0.0581,0.0364,0.10645,0.09723,0.14079,0.02638,0.03549,0.04001,0.11284,0.05954,0.04672,0.08442,0.00078,0.00454
"World",2009,5,9,"B","Fraction","Point",0.04956,0.02966,0.06335,0.04731,0.11157,0.10419,0.15209,0.02926,0.03889,0.04271,0.11978,0.06481,0.04998,0.09041,0.00086,0.00558
"World",2009,5,9,"B","Fraction","Upper",0.06753,0.03332,0.07323,0.05211,0.11687,0.11135,0.16689,0.03244,0.04254,0.04564,0.12696,0.06999,0.05338,0.09702,0.00094,0.00659
"World",2009,5,9,"B","Rate","Lower",0.19896,0.13818,0.31112,0.19584,0.5664,0.51583,0.75124,0.14229,0.18935,0.21502,0.604,0.3197,0.25126,0.45328,0.00426,0.02465
"World",2009,5,9,"B","Rate","Point",0.26569,0.15901,0.33962,0.25363,0.59813,0.55857,0.81536,0.15686,0.20849,0.22897,0.64215,0.34745,0.26795,0.48469,0.00461,0.02991
"World",2009,5,9,"B","Rate","Upper",0.36903,0.18056,0.39746,0.27927,0.63868,0.60637,0.91168,0.17521,0.22932,0.24487,0.68606,0.37949,0.28692,0.52318,0.005,0.03554
"World",2010,5,9,"B","Deaths","Lower",17086,16303,36718,22976,66433,61650,90965,17290,21883,26735,71402,38643,30113,53763,15553,2092
"World",2010,5,9,"B","Deaths","Point",23687,18640,40083,30373,70306,66885,97863,19082,24207,28500,76010,42054,32083,57552,20442,2608
"World",2010,5,9,"B","Deaths","Upper",32535,21082,47275,33430,75321,72531,109144,21316,26746,30504,81375,45871,34371,62203,26810,3131
"World",2010,5,9,"B","Fraction","Lower",0.02617,0.02519,0.05646,0.03517,0.10303,0.09577,0.14024,0.02634,0.0338,0.04098,0.10973,0.05939,0.04618,0.0826,0.02372,0.00322
"World",2010,5,9,"B","Fraction","Point",0.03642,0.02866,0.06163,0.0467,0.1081,0.10284,0.15047,0.02934,0.03722,0.04382,0.11687,0.06466,0.04933,0.08849,0.03143,0.00401
"World",2010,5,9,"B","Fraction","Upper",0.04936,0.03191,0.0721,0.05118,0.11326,0.10993,0.16571,0.03249,0.04106,0.04668,0.12371,0.07,0.05277,0.09517,0.04033,0.00485
"World",2010,5,9,"B","Rate","Lower",0.13798,0.13168,0.29656,0.18557,0.53658,0.49795,0.73471,0.13964,0.17676,0.21594,0.57667,0.31211,0.24321,0.4342,0.12561,0.0169
"World",2010,5,9,"B","Rate","Point",0.1913,0.15054,0.32371,0.24529,0.5678,0.54017,0.79035,0.15411,0.1955,0.23017,0.61386,0.33963,0.25911,0.4648,0.16509,0.02106
"World",2010,5,9,"B","Rate","Upper",0.26276,0.17026,0.38179,0.27001,0.60829,0.58575,0.88143,0.17216,0.216,0.24635,0.65713,0.37046,0.27761,0.50238,0.21651,0.02528
"World",2011,5,9,"B","Deaths","Lower",20252,15878,35858,22273,63831,58309,89364,17090,20906,26526,69259,37790,29400,52279,823,2935
"World",2011,5,9,"B","Deaths","Point",27149,17887,39026,29500,67712,63306,95490,18856,23188,28327,73777,41100,31345,56031,876,3437
"World",2011,5,9,"B","Deaths","Upper",35740,20114,46204,32684,72581,68469,106447,21032,25667,30346,79092,44834,33583,60589,934,3995
"World",2011,5,9,"B","Fraction","Lower",0.03281,0.02559,0.05818,0.03576,0.10474,0.0959,0.14572,0.02761,0.03417,0.04295,0.11221,0.06119,0.04755,0.08461,0.00131,0.00472
"World",2011,5,9,"B","Fraction","Point",0.044,0.02899,0.06325,0.04781,0.10974,0.1026,0.15476,0.03056,0.03758,0.04591,0.11957,0.06661,0.0508,0.09081,0.00142,0.00557
"World",2011,5,9,"B","Fraction","Upper",0.05688,0.0321,0.07393,0.05298,0.11515,0.10895,0.17006,0.03377,0.04128,0.0491,0.12643,0.07245,0.05427,0.09728,0.00153,0.00647
"World",2011,5,9,"B","Rate","Lower",0.16252,0.12742,0.28776,0.17873,0.51224,0.46793,0.71714,0.13715,0.16777,0.21286,0.55581,0.30326,0.23594,0.41954,0.0066,0.02355
"World",2011,5,9,"B","Rate","Point",0.21786,0.14354,0.31317,0.23672,0.54335,0.508,0.76626,0.15131,0.18607,0.22731,0.59203,0.32981,0.25153,0.44963,0.00703,0.02758
"World",2011,5,9,"B","Rate","Upper",0.28679,0.1614,0.37075,0.26227,0.58242,0.54939,0.85415,0.16876,0.20596,0.24352,0.63458,0.35978,0.26948,0.48617,0.0075,0.03206
"World",2012,5,9,"B","Deaths","Lower",12787,15046,34753,21166,61321,55571,87035,16825,19863,26535,67752,36591,28878,50979,312,7256
"World",2012,5,9,"B","Deaths","Point",17967,17074,38017,28504,65229,60121,93674,18568,22069,28409,72177,39797,30814,54698,351,7858
"World",2012,5,9,"B","Deaths","Upper",24496,18946,45227,31373,69987,65152,104534,20724,24462,30466,77403,43494,33004,59197,391,8484
"World",2012,5,9,"B","Fraction","Lower",0.02167,0.02538,0.05824,0.03526,0.10442,0.09504,0.14761,0.02822,0.0336,0.04457,0.11378,0.06135,0.04843,0.08575,0.00052,0.01207
"World",2012,5,9,"B","Fraction","Point",0.03018,0.02868,0.06386,0.04788,0.10957,0.10099,0.15735,0.03119,0.03707,0.04772,0.12124,0.06685,0.05176,0.09188,0.00059,0.0132
"World",2012,5,9,"B","Fraction","Upper",0.04047,0.03149,0.07503,0.05288,0.11478,0.10698,0.17196,0.03439,0.04076,0.05096,0.128,0.07282,0.05539,0.09852,0.00066,0.01425
"World",2012,5,9,"B","Rate","Lower",0.10181,0.11981,0.2767,0.16852,0.48826,0.44247,0.69301,0.13396,0.15815,0.21127,0.53945,0.29134,0.22994,0.40593,0.00248,0.05778
"World",2012,5,9,"B","Rate","Point",0.14306,0.13594,0.3027,0.22695,0.51937,0.4787,0.74585,0.14784,0.17571,0.2262,0.57468,0.31687,0.24535,0.43552,0.0028,0.06257
"World",2012,5,9,"B","Rate","Upper",0.19502,0.15085,0.36009,0.2498,0.5572,0.51872,0.83226,0.165,0.19476,0.24256,0.61629,0.34629,0.26277,0.47129,0.00312,0.06755
"World",2013,5,9,"B","Deaths","Lower",11419,14345,33911,20569,58821,52299,85087,16578,18950,26555,66950,35251,28266,49829,705,9312
"World",2013,5,9,"B","Deaths","Point",16984,16151,37385,27517,62625,56815,92221,18236,21094,28501,71248,38433,30224,53478,757,10568
"World",2013,5,9,"B","Deaths","Upper",24151,17991,44134,30662,67379,61748,102648,20292,23475,30549,76466,42126,32409,57845,811,11807
"World",2013,5,9,"B","Fraction","Lower",0.01977,0.02461,0.0582,0.03493,0.10253,0.09151,0.14793,0.02844,0.0328,0.04579,0.11507,0.06063,0.04852,0.0855,0.00119,0.01588
"World",2013,5,9,"B","Fraction","Point",0.02917,0.02774,0.06421,0.04726,0.10756,0.09758,0.15839,0.03132,0.03623,0.04895,0.12237,0.06601,0.05191,0.09185,0.0013,0.01815
"World",2013,5,9,"B","Fraction","Upper",0.04126,0.03044,0.07467,0.05289,0.11266,0.10334,0.17283,0.03448,0.03994,0.0522,0.12924,0.07171,0.05533,0.09834,0.00141,0.02031
"World",2013,5,9,"B","Rate","Lower",0.09013,0.11322,0.26763,0.16235,0.46427,0.41279,0.67158,0.13085,0.14958,0.2096,0.52844,0.27822,0.22311,0.39329,0.00557,0.07349
"World",2013,5,9,"B","Rate","Point",0.13405,0.12748,0.29507,0.21718,0.49428,0.44841,0.72786,0.14393,0.16649,0.22494,0.56233,0.30334,0.23854,0.42208,0.00597,0.08341
"World",2013,5,9,"B","Rate","Upper",0.19062,0.14199,0.34834,0.24201,0.53178,0.48731,0.81011,0.16014,0.18527,0.2411,0.60343,0.33249,0.25579,0.45652,0.00641,0.09319
"World",2014,5,9,"B","Deaths","Lower",14373,13368,32174,19521,56246,49223,84306,16379,17944,26447,66205,34028,27814,48279,436,11630
"World",2014,5,9,"B","Deaths","Point",19527,15096,36264,26908,60056,53708,91717,18040,20021,28424,70583,37154,29905,52003,476,14103
"World",2014,5,9,"B","Deaths","Upper",27381,16697,43603,31037,64835,58582,102740,20048,22298,30573,75697,40868,32112,56264,516,16641
"World",2014,5,9,"B","Fraction","Lower",0.025,0.02332,0.05605,0.03399,0.09975,0.08745,0.14868,0.02852,0.03161,0.04619,0.11588,0.05947,0.04867,0.08438,0.00074,0.02017
"World",2014,5,9,"B","Fraction","Point",0.03402,0.0263,0.06318,0.04688,0.10463,0.09357,0.15979,0.03143,0.03488,0.04952,0.12297,0.06473,0.0521,0.0906,0.00083,0.02457
"World",2014,5,9,"B","Fraction","Upper",0.04747,0.0288,0.07428,0.05341,0.10986,0.09957,0.17503,0.03457,0.03842,0.05281,0.12997,0.07027,0.05547,0.09706,0.00091,0.02879
"World",2014,5,9,"B","Rate","Lower",0.11243,0.10459,0.25168,0.15271,0.44004,0.38506,0.65955,0.12813,0.14038,0.20687,0.51794,0.26619,0.21758,0.37769,0.00341,0.09098
"World",2014,5,9,"B","Rate","Point",0.15276,0.11809,0.2837,0.21051,0.46982,0.42016,0.71751,0.14113,0.15662,0.22236,0.55217,0.29066,0.23394,0.40682,0.00373,0.11033
"World",2014,5,9,"B","Rate","Upper",0.21419,0.13062,0.34107,0.24279,0.50711,0.45823,0.80367,0.15684,0.17442,0.23916,0.59205,0.31967,0.2512,0.4401,0.00404,0.13018
"World",2015,5,9,"B","Deaths","Lower",14640,12238,31318,19030,53606,48186,82283,16129,16970,26392,65069,32939,27318,46583,790,10362
"World",2015,5,9,"B","Deaths","Point",19046,13794,35562,25974,57536,52826,89661,17834,18929,28460,69453,36126,29416,50429,1073,12593
"World",2015,5,9,"B","Deaths","Upper",24595,15344,42689,29629,62255,57792,100397,19786,21131,30712,74360,39842,31650,54672,1396,14825
"World",2015,5,9,"B","Fraction","Lower",0.02636,0.02193,0.05707,0.03383,0.09806,0.08853,0.14978,0.02896,0.03057,0.04745,0.11708,0.05922,0.04917,0.0841,0.00141,0.0185
"World",2015,5,9,"B","Fraction","Point",0.03409,0.02469,0.06365,0.04649,0.10298,0.09455,0.16048,0.03192,0.03388,0.05094,0.12431,0.06466,0.05265,0.09026,0.00192,0.02254
"World",2015,5,9,"B","Fraction","Upper",0.04356,0.02717,0.07515,0.05287,0.10837,0.10069,0.17543,0.03522,0.03734,0.05441,0.13157,0.07033,0.05622,0.09673,0.0025,0.02646
"World",2015,5,9,"B","Rate","Lower",0.11362,0.09498,0.24308,0.1477,0.41607,0.37401,0.63868,0.12518,0.13171,0.20484,0.50505,0.25565,0.21203,0.36156,0.00613,0.08042
"World",2015,5,9,"B","Rate","Point",0.14782,0.10706,0.27601,0.2016,0.44655,0.41,0.69589,0.13842,0.14691,0.22089,0.53905,0.28039,0.22831,0.3914,0.00833,0.09774
"World",2015,5,9,"B","Rate","Upper",0.19088,0.11908,0.33131,0.22994,0.48312,0.4485,0.77913,0.15355,0.16399,0.23834,0.57711,0.30923,0.24566,0.42427,0.01084,0.11506
"World",2016,5,9,"B","Deaths","Lower",11785,10921,30960,17923,51431,47518,81280,16070,16061,26151,64570,32064,26772,44698,413,9498
"World",2016,5,9,"B","Deaths","Point",17994,12436,35212,24933,55406,52458,88937,17797,17928,28301,69104,35289,28961,48626,459,12087
"World",2016,5,9,"B","Deaths","Upper",26684,13948,42431,28680,60073,57895,100026,19745,20007,30632,74082,38878,31268,52721,507,14770
"World",2016,5,9,"B","Fraction","Lower",0.02141,0.02014,0.05711,0.03268,0.09643,0.08882,0.1509,0.02954,0.02965,0.04817,0.11893,0.05901,0.04938,0.08271,0.00074,0.01723
"World",2016,5,9,"B","Fraction","Point",0.03296,0.02278,0.0645,0.04567,0.10149,0.09609,0.16291,0.0326,0.03284,0.05184,0.12658,0.06464,0.05305,0.08907,0.00084,0.02214
"World",2016,5,9,"B","Fraction","Upper",0.04811,0.02508,0.0765,0.05228,0.10702,0.10291,0.17869,0.03584,0.03633,0.05562,0.13418,0.07038,0.05674,0.09561,0.00094,0.0269
"World",2016,5,9,"B","Rate","Lower",0.09073,0.08408,0.23837,0.13799,0.39601,0.36586,0.62581,0.12372,0.12366,0.20134,0.49716,0.24688,0.20614,0.34415,0.00318,0.07312
"World",2016,5,9,"B","Rate","Point",0.13854,0.09575,0.2711,0.19196,0.42658,0.40388,0.68473,0.13702,0.13803,0.21789,0.53203,0.27169,0.22298,0.37437,0.00353,0.09306
"World",2016,5,9,"B","Rate","Upper",0.20544,0.10737,0.32664,0.22081,0.46245,0.44571,0.77007,0.15201,0.15403,0.23582,0.57029,0.29931,0.24072,0.40586,0.0039,0.11371
