"Region","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Maternal","HIV","TB","OtherCMPN","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2001,15,19,"M","Fraction","Upper",0,0.01009,0.10544,0.14335,0.06407,0.04632,0.06527,0.11575,0.11504,0.07902,0.05689,0.1618,0.09843,0.00402,0.00857
"World",2001,15,19,"M","Rate","Lower",0,0.05596,0.53834,0.73995,0.39771,0.29137,0.42506,0.75756,0.75832,0.50495,0.36301,1.08526,0.63478,0.02597,0.05456
"World",2001,15,19,"M","Rate","Point",0,0.06368,0.68834,0.82112,0.42605,0.3109,0.44611,0.7945,0.79014,0.53578,0.38472,1.12439,0.66842,0.02734,0.05761
"World",2001,15,19,"M","Rate","Upper",0,0.07251,0.7524,1.03162,0.46121,0.3341,0.47161,0.83496,0.82902,0.56934,0.41133,1.17079,0.70897,0.02876,0.06145
"World",2002,15,19,"F","Deaths","Lower",15773,5270,27378,42536,22533,18200,20192,49375,8320,35384,6011,18339,23068,257,1801
"World",2002,15,19,"F","Deaths","Point",17481,6186,34278,47710,25002,20446,21919,52740,9357,37636,6752,20001,25555,291,1947
"World",2002,15,19,"F","Deaths","Upper",19603,6881,38118,57938,28178,23220,24105,57053,10546,40179,7650,21972,28621,328,2127
"World",2002,15,19,"F","Fraction","Lower",0.04841,0.01599,0.08328,0.13064,0.06908,0.05526,0.06163,0.15075,0.02516,0.10869,0.01832,0.05599,0.07066,0.00078,0.00546
"World",2002,15,19,"F","Fraction","Point",0.05341,0.0189,0.10473,0.14577,0.07639,0.06247,0.06697,0.16114,0.02859,0.11499,0.02063,0.06111,0.07808,0.00089,0.00595
"World",2002,15,19,"F","Fraction","Upper",0.05911,0.02094,0.11668,0.17516,0.08483,0.07062,0.07314,0.17242,0.0321,0.12144,0.0231,0.06668,0.0865,0.001,0.00647
"World",2002,15,19,"F","Rate","Lower",0.27316,0.09126,0.47411,0.73663,0.39023,0.31521,0.34966,0.85507,0.14408,0.61275,0.1041,0.3176,0.3995,0.00445,0.03119
"World",2002,15,19,"F","Rate","Point",0.30272,0.10712,0.59359,0.82619,0.43296,0.35407,0.37957,0.91331,0.16204,0.65174,0.11693,0.34636,0.44254,0.00504,0.03372
"World",2002,15,19,"F","Rate","Upper",0.33944,0.11916,0.66009,1.00325,0.48796,0.4021,0.41742,0.98792,0.18262,0.69577,0.13247,0.38047,0.49561,0.00568,0.03683
"World",2002,15,19,"M","Deaths","Lower",0,3951,31804,42350,23492,17308,25082,44894,44740,29845,21447,64349,37389,547,3813
"World",2002,15,19,"M","Deaths","Point",0,4574,40768,46275,25201,18484,26353,47086,46607,31633,22784,66688,39334,597,3994
"World",2002,15,19,"M","Deaths","Upper",0,5189,44587,58146,27290,19836,27810,49412,48809,33547,24324,69334,41768,647,4214
"World",2002,15,19,"M","Fraction","Lower",0,0.00934,0.07524,0.10128,0.05583,0.04124,0.05986,0.10719,0.10648,0.07098,0.05124,0.15354,0.08918,0.00129,0.00897
"World",2002,15,19,"M","Fraction","Point",0,0.01088,0.09698,0.11008,0.05995,0.04397,0.06269,0.11201,0.11087,0.07525,0.0542,0.15864,0.09357,0.00142,0.0095
"World",2002,15,19,"M","Fraction","Upper",0,0.01225,0.10568,0.13611,0.06429,0.04676,0.06556,0.11656,0.11529,0.07929,0.05718,0.16313,0.09848,0.00154,0.01003
"World",2002,15,19,"M","Rate","Lower",0,0.06515,0.52437,0.6983,0.38733,0.28535,0.41357,0.7402,0.73767,0.49207,0.35361,1.06099,0.61647,0.00902,0.06288
"World",2002,15,19,"M","Rate","Point",0,0.07541,0.67213,0.76292,0.41549,0.30474,0.43448,0.7763,0.7684,0.52153,0.37564,1.09947,0.6485,0.00984,0.06584
"World",2002,15,19,"M","Rate","Upper",0,0.08555,0.73513,0.95862,0.44991,0.32702,0.45845,0.81459,0.80465,0.55305,0.40103,1.14297,0.6886,0.01066,0.06947
"World",2003,15,19,"F","Deaths","Lower",15562,5843,26682,41019,22262,17962,20232,49749,8145,35823,5991,18346,23043,1229,2693
"World",2003,15,19,"F","Deaths","Point",17259,6862,33481,45455,24647,20190,22021,53236,9217,38018,6734,19993,25491,1321,3137
"World",2003,15,19,"F","Deaths","Upper",19295,7623,37275,55053,27716,22904,24192,57512,10402,40660,7623,22004,28592,1407,3768
"World",2003,15,19,"F","Fraction","Lower",0.04769,0.01787,0.08143,0.12547,0.06831,0.05466,0.06178,0.15233,0.02477,0.1097,0.01834,0.05603,0.07061,0.00373,0.00821
"World",2003,15,19,"F","Fraction","Point",0.05277,0.02098,0.10237,0.13898,0.07536,0.06173,0.06733,0.16277,0.02818,0.11624,0.02059,0.06113,0.07794,0.00404,0.00959
"World",2003,15,19,"F","Fraction","Upper",0.05841,0.02309,0.11379,0.16741,0.08341,0.06962,0.07343,0.17404,0.03172,0.12272,0.02306,0.0667,0.08634,0.00431,0.01145
"World",2003,15,19,"F","Rate","Lower",0.26373,0.09903,0.45219,0.69517,0.37729,0.30438,0.34286,0.84311,0.13803,0.60708,0.10154,0.31092,0.39052,0.02082,0.04564
