"ISO3","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Total","Measles","Maternal","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Congenital","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"AFG",2000,5,19,"B","Deaths","Lower",9015,796,63,0,125,422,572,15,482,23,167,483,226,753,35,200,189,268,1199,0,1016
"AFG",2000,5,19,"B","Deaths","Point",11285,1455,121,0,344,1242,873,23,1195,41,260,663,323,1017,56,285,279,389,1571,0,1149
"AFG",2000,5,19,"B","Deaths","Upper",14199,2239,208,1,799,1757,1342,34,2325,65,386,916,461,1375,83,401,406,550,2032,0,1219
"AFG",2000,5,19,"B","Fraction","Lower",1,0.07037,0.00556,0.00002,0.01231,0.035,0.05708,0.0016,0.04731,0.00195,0.01528,0.04594,0.02325,0.07641,0.00326,0.01795,0.01901,0.02803,0.11663,0,0.08205
"AFG",2000,5,19,"B","Fraction","Point",1,0.1289,0.01069,0.00003,0.03044,0.11004,0.07737,0.00205,0.10588,0.00362,0.02305,0.05879,0.02863,0.09015,0.00493,0.02525,0.02471,0.03446,0.13919,0,0.10183
"AFG",2000,5,19,"B","Fraction","Upper",1,0.19835,0.01791,0.00006,0.06122,0.15592,0.10144,0.00249,0.18071,0.00591,0.03272,0.07338,0.0348,0.10339,0.00705,0.03383,0.03204,0.04163,0.16447,0,0.11902
"AFG",2001,5,19,"B","Deaths","Lower",9823,1360,61,0,116,379,566,16,553,25,166,470,235,755,35,199,196,278,1227,0,1093
"AFG",2001,5,19,"B","Deaths","Point",12020,2171,117,0,363,1197,847,23,1204,44,254,649,335,1002,55,283,287,393,1596,1,1199
"AFG",2001,5,19,"B","Deaths","Upper",14897,3029,200,1,779,1739,1263,34,2311,69,374,886,469,1326,81,393,419,548,2053,3,1268
"AFG",2001,5,19,"B","Fraction","Lower",1,0.11386,0.00508,0.00002,0.01086,0.03099,0.05341,0.00151,0.04967,0.002,0.01434,0.04221,0.02229,0.07045,0.00305,0.01672,0.0184,0.02637,0.11179,0,0.08213
"AFG",2001,5,19,"B","Fraction","Point",1,0.1806,0.00973,0.00004,0.03016,0.09958,0.07047,0.00194,0.10018,0.00364,0.02117,0.05398,0.02786,0.08336,0.0046,0.02353,0.02391,0.03267,0.13278,0.00009,0.09973
"AFG",2001,5,19,"B","Fraction","Upper",1,0.25029,0.01614,0.00008,0.05864,0.1434,0.09123,0.00237,0.17225,0.0058,0.02999,0.06769,0.03398,0.09647,0.00659,0.03206,0.03068,0.0397,0.1571,0.00029,0.11553
"AFG",2002,5,19,"B","Deaths","Lower",8819,408,63,0,105,391,611,22,614,30,181,505,269,824,39,218,226,315,1372,294,194
"AFG",2002,5,19,"B","Deaths","Point",10824,914,120,1,416,1234,879,31,1338,51,270,681,376,1076,60,301,326,431,1761,332,226
"AFG",2002,5,19,"B","Deaths","Upper",13445,1493,203,2,837,1793,1251,42,2428,80,387,902,513,1380,87,407,461,579,2247,364,257
"AFG",2002,5,19,"B","Fraction","Lower",1,0.03731,0.00597,0.00003,0.01128,0.03447,0.06375,0.00233,0.0604,0.00268,0.01696,0.0494,0.0287,0.08523,0.00379,0.0203,0.02338,0.03303,0.13834,0.02424,0.01673
"AFG",2002,5,19,"B","Fraction","Point",1,0.08443,0.0111,0.00005,0.03846,0.11399,0.08121,0.00286,0.12364,0.00472,0.02494,0.06291,0.03474,0.09945,0.00555,0.02782,0.03009,0.03983,0.16266,0.03067,0.02089
"AFG",2002,5,19,"B","Fraction","Upper",1,0.13676,0.01845,0.0001,0.06961,0.16867,0.10202,0.00335,0.19849,0.00753,0.03449,0.07791,0.04163,0.11243,0.00786,0.03718,0.03835,0.04776,0.18856,0.03745,0.02571
"AFG",2003,5,19,"B","Deaths","Lower",8093,0,63,0,178,444,647,16,689,35,184,510,298,880,42,226,256,336,1481,17,181
"AFG",2003,5,19,"B","Deaths","Point",10075,0,120,1,443,1326,884,22,1376,60,275,695,410,1137,62,309,365,456,1896,27,211
"AFG",2003,5,19,"B","Deaths","Upper",12501,58,203,2,873,1918,1220,30,2427,91,388,909,552,1437,89,415,502,604,2395,38,238
"AFG",2003,5,19,"B","Fraction","Lower",1,0,0.00639,0.00004,0.01879,0.04454,0.07146,0.00187,0.07119,0.00342,0.01853,0.05434,0.03382,0.09835,0.00424,0.02305,0.02865,0.03788,0.16166,0.00165,0.01639
"AFG",2003,5,19,"B","Fraction","Point",1,0,0.01196,0.00007,0.04398,0.13166,0.08777,0.0022,0.13656,0.00591,0.02729,0.06897,0.04069,0.11288,0.00616,0.03069,0.03621,0.04528,0.18814,0.00267,0.0209
"AFG",2003,5,19,"B","Fraction","Upper",1,0.00588,0.02004,0.00012,0.07912,0.1868,0.10762,0.00253,0.21418,0.00927,0.03797,0.08522,0.04846,0.12829,0.0087,0.04169,0.04656,0.05403,0.21689,0.004,0.02647
"AFG",2004,5,19,"B","Deaths","Lower",8408,0,63,0,202,389,649,7,699,41,185,511,317,914,42,228,281,347,1551,0,226
"AFG",2004,5,19,"B","Deaths","Point",10344,0,119,1,500,1261,871,10,1456,68,273,694,432,1180,62,309,399,467,1980,4,259
"AFG",2004,5,19,"B","Deaths","Upper",12640,274,200,3,909,1855,1162,13,2535,103,384,904,572,1467,89,415,545,611,2466,8,290
"AFG",2004,5,19,"B","Fraction","Lower",1,0,0.00615,0.00005,0.02111,0.03627,0.06938,0.00077,0.0713,0.00389,0.01801,0.053,0.03482,0.09891,0.00416,0.02255,0.03026,0.03769,0.16565,0.00008,0.01975
"AFG",2004,5,19,"B","Fraction","Point",1,0,0.01152,0.00011,0.04834,0.12188,0.08424,0.00092,0.14072,0.00657,0.02638,0.06706,0.04173,0.11411,0.00602,0.02992,0.03859,0.04512,0.19139,0.00036,0.02503
"AFG",2004,5,19,"B","Fraction","Upper",1,0.02525,0.01964,0.00021,0.08194,0.18078,0.10146,0.00105,0.21436,0.01016,0.03671,0.08268,0.04933,0.12889,0.00844,0.04061,0.04952,0.05376,0.21888,0.00077,0.03102
"AFG",2005,5,19,"B","Deaths","Lower",8997,0,61,0,209,342,632,5,774,46,180,503,325,922,41,221,301,344,1570,94,452
"AFG",2005,5,19,"B","Deaths","Point",10911,190,117,1,542,1194,848,7,1496,76,266,680,439,1196,61,304,424,464,1993,115,497
"AFG",2005,5,19,"B","Deaths","Upper",13297,990,195,3,915,1792,1108,10,2494,113,376,885,576,1467,87,409,575,602,2492,135,539
"AFG",2005,5,19,"B","Fraction","Lower",1,0,0.00564,0.00005,0.02019,0.03121,0.06406,0.00056,0.07418,0.00417,0.01668,0.04868,0.03335,0.09437,0.00381,0.02068,0.03021,0.03534,0.15649,0.00805,0.03719
"AFG",2005,5,19,"B","Fraction","Point",1,0.01741,0.01072,0.00013,0.04972,0.10942,0.07774,0.00066,0.13713,0.00692,0.02436,0.06235,0.04026,0.10965,0.00558,0.0279,0.03885,0.04249,0.18267,0.01051,0.04554
"AFG",2005,5,19,"B","Fraction","Upper",1,0.08424,0.01819,0.00024,0.07876,0.16562,0.09302,0.00075,0.21091,0.0103,0.03323,0.07689,0.04731,0.12395,0.00774,0.03678,0.04946,0.05046,0.20766,0.01341,0.05485
"AFG",2006,5,19,"B","Deaths","Lower",10326,181,59,0,244,313,626,4,794,51,169,484,324,907,39,211,307,332,1509,61,1156
"AFG",2006,5,19,"B","Deaths","Point",12343,1138,113,1,580,1088,830,6,1513,81,252,655,431,1174,58,291,431,447,1936,77,1241
"AFG",2006,5,19,"B","Deaths","Upper",14601,2107,188,3,948,1731,1094,9,2625,119,359,858,563,1448,83,393,586,580,2432,95,1310
"AFG",2006,5,19,"B","Fraction","Lower",1,0.01476,0.00481,0.00005,0.01998,0.02557,0.05569,0.00043,0.06922,0.00396,0.01396,0.04142,0.02863,0.08142,0.0032,0.0172,0.02714,0.02968,0.13421,0.00467,0.0858
"AFG",2006,5,19,"B","Fraction","Point",1,0.09216,0.00912,0.00012,0.04699,0.08817,0.06727,0.00051,0.12254,0.00655,0.02039,0.05304,0.03491,0.09514,0.00467,0.02357,0.03493,0.03623,0.15689,0.00625,0.10055
"AFG",2006,5,19,"B","Fraction","Upper",1,0.16474,0.01548,0.00022,0.07252,0.14324,0.08031,0.00059,0.20137,0.00983,0.02827,0.06592,0.04125,0.10935,0.00663,0.03081,0.04492,0.04366,0.18093,0.00827,0.11678
"AFG",2007,5,19,"B","Deaths","Lower",10214,0,59,0,285,268,650,5,961,55,167,484,325,918,38,207,320,333,1520,43,1632
"AFG",2007,5,19,"B","Deaths","Point",12058,253,113,2,632,1026,849,7,1611,87,250,654,432,1186,57,290,445,446,1912,58,1748
"AFG",2007,5,19,"B","Deaths","Upper",14589,1040,189,4,1007,1609,1123,10,2790,129,358,851,566,1481,83,395,606,589,2401,73,1839
"AFG",2007,5,19,"B","Fraction","Lower",1,0,0.00491,0.00006,0.02468,0.02238,0.05836,0.00051,0.08396,0.00445,0.01412,0.04236,0.02981,0.08506,0.00317,0.01751,0.02817,0.03058,0.13601,0.00337,0.12251
"AFG",2007,5,19,"B","Fraction","Point",1,0.02099,0.00936,0.00015,0.05239,0.08509,0.07044,0.0006,0.1336,0.0072,0.02076,0.05425,0.03586,0.09833,0.00475,0.02405,0.0369,0.03697,0.15858,0.00479,0.14494
"AFG",2007,5,19,"B","Fraction","Upper",1,0.08472,0.01597,0.00025,0.07708,0.13141,0.08407,0.00069,0.20786,0.01063,0.02871,0.06653,0.04202,0.11097,0.00665,0.03102,0.04736,0.0438,0.18033,0.00644,0.16514
"AFG",2008,5,19,"B","Deaths","Lower",10619,0,64,1,258,290,714,4,1091,62,184,525,349,1000,42,226,348,363,1589,0,1461
"AFG",2008,5,19,"B","Deaths","Point",12815,330,123,3,705,1136,943,6,1850,97,274,706,464,1279,63,315,485,481,1998,0,1558
"AFG",2008,5,19,"B","Deaths","Upper",15721,1318,202,5,1146,1797,1280,9,3216,143,392,929,609,1624,91,429,659,646,2549,0,1636
"AFG",2008,5,19,"B","Fraction","Lower",1,0,0.00506,0.00008,0.02108,0.02268,0.06063,0.00042,0.09328,0.00471,0.01444,0.04316,0.03032,0.08586,0.00329,0.01779,0.02929,0.03111,0.13555,0,0.10094
"AFG",2008,5,19,"B","Fraction","Point",1,0.02576,0.00957,0.00021,0.05499,0.08861,0.07358,0.0005,0.14435,0.00756,0.02135,0.05508,0.03623,0.09984,0.00491,0.02457,0.03784,0.03756,0.15592,0,0.12157
"AFG",2008,5,19,"B","Fraction","Upper",1,0.09577,0.01623,0.00034,0.08032,0.14018,0.08794,0.00057,0.22094,0.01112,0.02964,0.06779,0.04235,0.11306,0.00692,0.03202,0.04795,0.04472,0.17753,0,0.14126
"AFG",2009,5,19,"B","Deaths","Lower",11492,0,70,1,279,327,718,3,1141,66,196,532,355,1027,45,242,351,364,1543,13,1656
"AFG",2009,5,19,"B","Deaths","Point",13981,772,134,3,714,1251,975,5,2014,101,297,735,475,1326,69,342,498,494,1971,23,1783
"AFG",2009,5,19,"B","Deaths","Upper",17466,1742,222,5,1225,1950,1380,7,3572,148,429,982,635,1727,100,472,688,662,2535,32,1873
"AFG",2009,5,19,"B","Fraction","Lower",1,0,0.00516,0.00009,0.02073,0.02308,0.05672,0.00029,0.0898,0.00447,0.01413,0.04153,0.02847,0.08185,0.00325,0.01762,0.02755,0.02929,0.12162,0.00091,0.10426
"AFG",2009,5,19,"B","Fraction","Point",1,0.05524,0.00955,0.00021,0.05105,0.08951,0.06971,0.00035,0.14405,0.00721,0.02125,0.0526,0.03399,0.09481,0.0049,0.02443,0.03563,0.03535,0.141,0.00162,0.12755
"AFG",2009,5,19,"B","Fraction","Upper",1,0.12039,0.01633,0.00035,0.0771,0.1449,0.08543,0.00042,0.227,0.01077,0.02971,0.06521,0.03992,0.10747,0.00705,0.03241,0.04508,0.04211,0.16217,0.00251,0.14913
"AFG",2010,5,19,"B","Deaths","Lower",11742,0,78,1,302,316,688,4,1261,65,220,548,357,1041,50,269,352,371,1475,69,1865
"AFG",2010,5,19,"B","Deaths","Point",14420,551,149,4,712,1270,966,6,2246,101,333,765,485,1367,77,383,501,506,1910,87,2002
"AFG",2010,5,19,"B","Deaths","Upper",18163,1461,249,7,1259,2020,1417,9,4008,148,484,1037,660,1829,115,538,708,694,2501,105,2105
"AFG",2010,5,19,"B","Fraction","Lower",1,0,0.00548,0.00011,0.02211,0.02086,0.05342,0.00034,0.09476,0.00432,0.01535,0.04144,0.02822,0.08193,0.00352,0.01904,0.02699,0.02934,0.11446,0.00428,0.11233
"AFG",2010,5,19,"B","Fraction","Point",1,0.03823,0.01032,0.00025,0.04936,0.08806,0.067,0.00042,0.15573,0.00698,0.02312,0.05303,0.03362,0.09477,0.00537,0.02659,0.03473,0.03508,0.13247,0.00601,0.13886
"AFG",2010,5,19,"B","Fraction","Upper",1,0.09803,0.01749,0.00038,0.07467,0.14235,0.08383,0.00051,0.23683,0.01046,0.03283,0.06576,0.03929,0.10705,0.00763,0.03507,0.04396,0.04145,0.15179,0.00784,0.16249
"AFG",2011,5,19,"B","Deaths","Lower",12616,244,89,1,252,316,654,5,1461,63,248,571,366,1080,58,307,356,383,1406,9,2155
"AFG",2011,5,19,"B","Deaths","Point",15611,1114,170,4,663,1342,929,7,2441,96,384,801,498,1422,91,444,498,522,1836,17,2332
"AFG",2011,5,19,"B","Deaths","Upper",19705,2277,293,7,1215,2085,1378,11,4377,143,569,1092,679,1918,138,636,704,716,2387,25,2446
"AFG",2011,5,19,"B","Fraction","Lower",1,0.01541,0.00583,0.00012,0.01703,0.01997,0.04659,0.00036,0.10542,0.00384,0.01629,0.0401,0.02682,0.07921,0.0038,0.02054,0.02504,0.02811,0.10066,0.00056,0.1225
"AFG",2011,5,19,"B","Fraction","Point",1,0.07139,0.01086,0.00028,0.04244,0.08595,0.05952,0.00046,0.15637,0.00618,0.02462,0.05131,0.0319,0.09109,0.0058,0.02847,0.03188,0.03344,0.11758,0.00108,0.14939
"AFG",2011,5,19,"B","Fraction","Upper",1,0.1407,0.01781,0.00044,0.06735,0.13218,0.07647,0.00057,0.24312,0.00921,0.03452,0.06452,0.03757,0.1033,0.00831,0.03752,0.04067,0.03955,0.13563,0.00168,0.17429
"AFG",2012,5,19,"B","Deaths","Lower",13009,253,101,2,231,307,588,2,1575,56,276,579,371,1087,66,345,342,386,1301,63,2680
"AFG",2012,5,19,"B","Deaths","Point",16195,1042,189,4,572,1343,842,3,2576,86,436,819,500,1453,105,510,474,527,1705,81,2928
"AFG",2012,5,19,"B","Deaths","Upper",20087,2177,328,8,1072,2160,1252,5,4512,128,651,1124,677,1938,162,746,670,718,2236,99,3085
"AFG",2012,5,19,"B","Fraction","Lower",1,0.0155,0.00639,0.00013,0.01464,0.01833,0.03927,0.00014,0.10378,0.00327,0.0179,0.03969,0.02601,0.07778,0.00423,0.0223,0.02341,0.02733,0.09025,0.00363,0.15068
"AFG",2012,5,19,"B","Fraction","Point",1,0.06431,0.01165,0.00027,0.03531,0.08293,0.05202,0.00019,0.15905,0.00531,0.02694,0.05056,0.0309,0.08974,0.00649,0.03147,0.02925,0.03253,0.1053,0.00499,0.18079
"AFG",2012,5,19,"B","Fraction","Upper",1,0.13178,0.0189,0.00042,0.05979,0.12982,0.06838,0.00025,0.24248,0.00798,0.03775,0.06333,0.03636,0.10253,0.00915,0.04118,0.03676,0.03794,0.12199,0.00669,0.21089
"AFG",2013,5,19,"B","Deaths","Lower",12547,0,117,2,190,314,531,1,1607,49,320,606,381,1147,79,395,337,405,1242,23,2963
"AFG",2013,5,19,"B","Deaths","Point",15844,24,214,5,493,1342,771,3,2813,76,510,864,525,1550,127,604,466,558,1632,34,3233
"AFG",2013,5,19,"B","Deaths","Upper",20055,585,370,8,945,2311,1125,4,4862,113,788,1227,719,2068,202,905,644,760,2124,46,3413
"AFG",2013,5,19,"B","Fraction","Lower",1,0,0.00761,0.00014,0.01191,0.01931,0.03501,0.00013,0.11364,0.00286,0.02194,0.04355,0.02834,0.0856,0.00537,0.02739,0.02373,0.03,0.08874,0.00136,0.16745
"AFG",2013,5,19,"B","Fraction","Point",1,0.00152,0.0135,0.00029,0.03111,0.08471,0.04869,0.00018,0.17752,0.0048,0.03221,0.05451,0.03311,0.09786,0.00802,0.0381,0.02942,0.03521,0.10303,0.00215,0.20406
"AFG",2013,5,19,"B","Fraction","Upper",1,0.03743,0.02087,0.00046,0.05395,0.14223,0.06473,0.00023,0.25579,0.00724,0.04427,0.06726,0.03839,0.1094,0.01099,0.0488,0.03608,0.04052,0.11914,0.00313,0.2392
"AFG",2014,5,19,"B","Deaths","Lower",12776,0,122,2,143,296,383,2,1514,36,327,563,352,1089,83,410,298,382,1058,92,3910
"AFG",2014,5,19,"B","Deaths","Point",16552,111,224,4,357,1263,609,3,2738,59,551,839,509,1533,143,665,422,549,1422,114,4438
"AFG",2014,5,19,"B","Deaths","Upper",21729,901,386,8,773,2049,946,6,4988,88,881,1242,726,2156,237,1031,600,798,1899,134,4749
"AFG",2014,5,19,"B","Fraction","Lower",1,0,0.00793,0.00013,0.00898,0.01669,0.02488,0.00013,0.10709,0.00205,0.02212,0.04032,0.02572,0.08013,0.00563,0.02828,0.02099,0.02797,0.07372,0.0049,0.21825
"AFG",2014,5,19,"B","Fraction","Point",1,0.0067,0.01352,0.00027,0.02157,0.07633,0.0368,0.0002,0.1654,0.00358,0.03328,0.05066,0.03077,0.09259,0.00864,0.04015,0.02548,0.03318,0.0859,0.00689,0.26811
"AFG",2014,5,19,"B","Fraction","Upper",1,0.0545,0.02073,0.00043,0.04349,0.12809,0.05307,0.00029,0.24101,0.00558,0.04547,0.06305,0.03608,0.10486,0.01184,0.05186,0.03092,0.03884,0.09975,0.00911,0.31409
"AFG",2015,5,19,"B","Deaths","Lower",12767,0,121,2,57,250,276,2,1475,28,335,528,338,1043,92,428,272,363,914,7,4469
"AFG",2015,5,19,"B","Deaths","Point",17177,292,230,4,271,1114,482,4,2779,48,591,821,508,1540,161,726,396,557,1279,15,5360
"AFG",2015,5,19,"B","Deaths","Upper",23379,1213,401,8,673,2080,839,7,5150,71,966,1263,768,2269,271,1168,598,853,1812,22,5850
"AFG",2015,5,19,"B","Fraction","Lower",1,0,0.00812,0.00013,0.00348,0.01495,0.01721,0.00014,0.0992,0.00154,0.0227,0.03813,0.02479,0.07686,0.00614,0.02915,0.01922,0.02716,0.06397,0.00041,0.24984
"AFG",2015,5,19,"B","Fraction","Point",1,0.017,0.0134,0.00026,0.01579,0.06486,0.02804,0.00023,0.16178,0.00277,0.03438,0.04779,0.02959,0.08965,0.00936,0.04229,0.02303,0.03245,0.07447,0.00085,0.31202
"AFG",2015,5,19,"B","Fraction","Upper",1,0.06859,0.02053,0.00041,0.03678,0.11526,0.04447,0.00036,0.23393,0.00444,0.04684,0.05995,0.03535,0.1038,0.01297,0.05494,0.02804,0.03876,0.08757,0.00142,0.3696
"AFG",2016,5,19,"B","Deaths","Lower",12336,0,119,1,48,196,200,3,1323,22,333,491,321,975,95,437,252,351,813,9,4685
"AFG",2016,5,19,"B","Deaths","Point",17157,79,229,4,221,931,389,7,2791,39,613,799,511,1548,176,771,379,569,1183,17,5901
"AFG",2016,5,19,"B","Deaths","Upper",24131,864,407,8,639,1830,784,13,5316,60,1027,1268,811,2358,298,1286,595,910,1751,25,6553
"AFG",2016,5,19,"B","Fraction","Lower",1,0,0.00811,0.00011,0.00298,0.01157,0.01206,0.0002,0.0977,0.00123,0.02294,0.03677,0.02476,0.07699,0.00668,0.03043,0.01845,0.02767,0.05934,0.00048,0.2663
"AFG",2016,5,19,"B","Fraction","Point",1,0.0046,0.01336,0.00024,0.01289,0.05424,0.02267,0.00038,0.16267,0.00228,0.03572,0.04659,0.02977,0.09024,0.01024,0.04495,0.0221,0.03314,0.06898,0.00097,0.34397
"AFG",2016,5,19,"B","Fraction","Upper",1,0.04715,0.01989,0.00041,0.03283,0.10985,0.03931,0.00066,0.22937,0.00366,0.04896,0.05797,0.03567,0.10555,0.01413,0.05858,0.02678,0.03988,0.08187,0.00159,0.41352
"AFG",2017,5,19,"B","Deaths","Lower",12155,0,129,2,41,199,181,2,1472,22,359,516,349,1081,108,478,268,387,855,34,3906
"AFG",2017,5,19,"B","Deaths","Point",17415,347,242,6,231,909,402,6,3036,40,673,856,572,1720,202,864,418,639,1283,56,4915
"AFG",2017,5,19,"B","Deaths","Upper",24604,1393,429,13,695,1785,830,13,5751,62,1118,1359,912,2652,342,1410,665,1022,1952,71,5398
"AFG",2017,5,19,"B","Fraction","Lower",1,0,0.00864,0.00015,0.00274,0.01094,0.0114,0.00017,0.10596,0.00118,0.02528,0.03933,0.02726,0.08456,0.00754,0.03368,0.02013,0.03079,0.06276,0.00195,0.21458
"AFG",2017,5,19,"B","Fraction","Point",1,0.0199,0.0139,0.00033,0.01325,0.05221,0.0231,0.00036,0.17431,0.00232,0.03862,0.04916,0.03285,0.09874,0.01159,0.04961,0.02398,0.03668,0.07366,0.0032,0.28223
"AFG",2017,5,19,"B","Fraction","Upper",1,0.07505,0.02035,0.00059,0.03627,0.10441,0.04206,0.00066,0.2435,0.00378,0.05279,0.06067,0.03931,0.11534,0.01576,0.06393,0.02933,0.04365,0.08892,0.00476,0.34673
"AFG",2018,5,19,"B","Deaths","Lower",12056,33,142,3,47,259,215,3,1995,24,449,624,441,1333,146,590,341,521,1043,3,1762
"AFG",2018,5,19,"B","Deaths","Point",17569,653,264,9,275,1096,496,9,3732,48,812,1002,712,2075,258,1033,523,822,1584,8,2158
"AFG",2018,5,19,"B","Deaths","Upper",25103,1616,457,19,842,2011,985,18,6708,72,1284,1534,1097,3084,420,1626,795,1255,2352,14,2275
"AFG",2018,5,19,"B","Fraction","Lower",1,0.00195,0.0095,0.00023,0.00295,0.01462,0.0135,0.00024,0.14254,0.00137,0.0312,0.04716,0.0342,0.1043,0.00993,0.04162,0.02485,0.04027,0.0747,0.00015,0.0876
"AFG",2018,5,19,"B","Fraction","Point",1,0.03714,0.01503,0.00049,0.01563,0.06238,0.02824,0.00052,0.21242,0.00273,0.04619,0.05705,0.04052,0.11813,0.0147,0.05877,0.02978,0.04681,0.09017,0.00046,0.12284
"AFG",2018,5,19,"B","Fraction","Upper",1,0.09361,0.02172,0.00092,0.04267,0.11417,0.04941,0.00093,0.28336,0.00449,0.0615,0.0684,0.04754,0.13368,0.01939,0.07398,0.0357,0.05384,0.10814,0.00089,0.16542
"AFG",2019,5,19,"B","Deaths","Lower",11016,0,136,4,34,217,179,2,1875,19,445,607,438,1308,151,590,331,518,999,5,1654
"AFG",2019,5,19,"B","Deaths","Point",16792,30,261,9,262,1010,468,5,3729,46,819,996,725,2104,268,1058,524,837,1587,12,2043
"AFG",2019,5,19,"B","Deaths","Upper",24996,487,452,19,834,1962,1001,12,6684,68,1303,1546,1144,3205,438,1674,809,1297,2454,19,2160
"AFG",2019,5,19,"B","Fraction","Lower",1,0,0.00982,0.00027,0.00243,0.01168,0.01212,0.00013,0.14847,0.00121,0.03252,0.04872,0.03685,0.11097,0.01076,0.04371,0.02653,0.04339,0.07817,0.00028,0.08351
"AFG",2019,5,19,"B","Fraction","Point",1,0.0018,0.01556,0.00054,0.0156,0.06014,0.02786,0.00032,0.22209,0.00271,0.04875,0.05934,0.0432,0.12527,0.01594,0.06298,0.03122,0.04987,0.09449,0.0007,0.12165
"AFG",2019,5,19,"B","Fraction","Upper",1,0.02793,0.02239,0.00095,0.04364,0.12827,0.05142,0.00059,0.28919,0.00452,0.06355,0.07093,0.05048,0.14093,0.02099,0.07836,0.03722,0.05703,0.11582,0.00124,0.16833
"AGO",2000,5,19,"B","Deaths","Lower",25377,0,124,87,1484,635,2642,2363,10539,57,371,568,187,1398,85,240,274,545,437,6,500
"AGO",2000,5,19,"B","Deaths","Point",30249,250,199,128,2465,1386,3399,3104,13195,117,565,748,252,1754,128,341,367,711,581,13,546
"AGO",2000,5,19,"B","Deaths","Upper",36211,1376,305,177,3537,2863,4367,4009,16633,211,792,970,330,2199,181,469,495,926,784,20,592
"AGO",2000,5,19,"B","Fraction","Lower",1,0,0.00414,0.00306,0.05229,0.02002,0.09429,0.08526,0.37332,0.00199,0.0129,0.0202,0.00648,0.04851,0.00294,0.00813,0.00954,0.01906,0.0154,0.00019,0.01469
"AGO",2000,5,19,"B","Fraction","Point",1,0.00827,0.00657,0.00422,0.08149,0.04581,0.11236,0.10261,0.43622,0.00387,0.01867,0.02472,0.00834,0.058,0.00422,0.01128,0.01214,0.02352,0.01922,0.00042,0.01805
"AGO",2000,5,19,"B","Fraction","Upper",1,0.04417,0.00953,0.00556,0.10792,0.09278,0.13116,0.12111,0.48416,0.00657,0.02514,0.02929,0.01043,0.06843,0.00578,0.01488,0.01524,0.02868,0.0238,0.00069,0.02195
"AGO",2001,5,19,"B","Deaths","Lower",25837,0,127,107,1568,614,2677,2416,10110,62,377,577,197,1439,88,247,284,563,456,5,738
"AGO",2001,5,19,"B","Deaths","Point",30654,477,202,154,2434,1307,3435,3167,12941,124,570,758,266,1810,132,352,378,736,607,11,793
"AGO",2001,5,19,"B","Deaths","Upper",36583,2094,307,215,3492,2588,4400,4088,16316,222,798,979,347,2263,187,483,505,958,814,18,845
"AGO",2001,5,19,"B","Fraction","Lower",1,0,0.00424,0.00368,0.05476,0.01882,0.09365,0.08579,0.35976,0.0021,0.01288,0.02042,0.00681,0.04954,0.00301,0.00831,0.00972,0.01956,0.01587,0.00016,0.02122
"AGO",2001,5,19,"B","Fraction","Point",1,0.01556,0.0066,0.00501,0.07941,0.04263,0.11205,0.10333,0.42216,0.00405,0.0186,0.02473,0.00867,0.05906,0.0043,0.01149,0.01232,0.024,0.01979,0.00037,0.02587
"AGO",2001,5,19,"B","Fraction","Upper",1,0.06557,0.00955,0.00649,0.10428,0.08835,0.13047,0.12243,0.46657,0.00682,0.02508,0.02923,0.01078,0.06958,0.00584,0.01511,0.01538,0.02899,0.0244,0.00063,0.03095
"AGO",2002,5,19,"B","Deaths","Lower",26003,134,132,136,1624,535,2755,2440,10406,70,401,609,221,1562,98,271,310,614,500,0,230
"AGO",2002,5,19,"B","Deaths","Point",30941,715,210,189,2469,1182,3533,3186,13040,136,595,792,294,1953,144,381,410,794,658,2,260
"AGO",2002,5,19,"B","Deaths","Upper",36873,2416,316,254,3472,2334,4498,4115,16073,237,821,1016,379,2417,203,519,543,1025,872,4,291
"AGO",2002,5,19,"B","Fraction","Lower",1,0.00419,0.00443,0.00463,0.05452,0.01697,0.09616,0.08569,0.36617,0.00236,0.01339,0.02122,0.00751,0.05333,0.00331,0.00895,0.0105,0.02111,0.01722,0,0.00671
"AGO",2002,5,19,"B","Fraction","Point",1,0.02312,0.00678,0.0061,0.07979,0.0382,0.11419,0.10296,0.42144,0.00439,0.01923,0.02561,0.0095,0.06311,0.00466,0.01232,0.01324,0.02566,0.02127,0.00005,0.00839
"AGO",2002,5,19,"B","Fraction","Upper",1,0.07713,0.00968,0.00768,0.10202,0.07269,0.13229,0.12121,0.46485,0.00722,0.02568,0.02993,0.01171,0.0739,0.00629,0.01611,0.01637,0.03067,0.02599,0.00014,0.01041
"AGO",2003,5,19,"B","Deaths","Lower",25658,0,136,165,1574,516,2854,2465,10249,74,411,634,244,1643,107,291,325,654,542,0,28
"AGO",2003,5,19,"B","Deaths","Point",30517,390,213,224,2393,1139,3642,3216,12783,142,609,821,321,2040,156,406,425,845,710,3,40
"AGO",2003,5,19,"B","Deaths","Upper",36338,1353,319,298,3350,2113,4621,4154,15818,243,842,1048,412,2533,218,550,557,1084,934,7,53
