"ISO3","Year","AgeLow","AgeUp","Sex","Variable","Quantile","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"AFG",2003,10,14,"B","Rate","Point",0.00033,0.27616,0.1917,0.48254,0.01244,0.85316,0.18639,0.18505,0.40026,0.14809,0.18824,0.68657,0.01345,0.09007
"AFG",2003,10,14,"B","Rate","Upper",0.00079,0.70331,0.60821,0.97115,0.024,1.77539,0.38031,0.37075,0.79519,0.2996,0.39012,1.3536,0.02288,0.11274
"AFG",2004,10,14,"B","Deaths","Lower",0,14,2,82,0,74,34,38,78,29,33,143,0,54
"AFG",2004,10,14,"B","Deaths","Point",0,187,109,284,3,560,114,122,259,100,120,454,1,70
"AFG",2004,10,14,"B","Deaths","Upper",1,433,375,547,6,1087,221,234,482,192,241,860,4,86
"AFG",2004,10,14,"B","Fraction","Lower",0,0.01012,0.00104,0.08947,0.00129,0.0421,0.03417,0.03641,0.08721,0.0282,0.03788,0.15002,0,0.01604
"AFG",2004,10,14,"B","Fraction","Point",0.0001,0.07842,0.04553,0.11906,0.00137,0.23504,0.04789,0.05114,0.1087,0.04177,0.05049,0.19045,0.00048,0.02955
"AFG",2004,10,14,"B","Fraction","Upper",0.00023,0.11267,0.20485,0.15841,0.0014,0.29162,0.06157,0.06952,0.13114,0.0582,0.0638,0.23078,0.00231,0.08551
"AFG",2004,10,14,"B","Rate","Lower",0,0.02226,0.00353,0.12915,0.00154,0.11705,0.05373,0.05988,0.12339,0.04652,0.05302,0.2255,0,0.0848
"AFG",2004,10,14,"B","Rate","Point",0.00037,0.2935,0.1704,0.4456,0.00513,0.87967,0.17923,0.1914,0.40682,0.15633,0.18897,0.71278,0.0018,0.11059
"AFG",2004,10,14,"B","Rate","Upper",0.00104,0.67765,0.58778,0.85616,0.0094,1.70366,0.34646,0.36597,0.75458,0.30121,0.37642,1.34716,0.00628,0.13362
"AFG",2005,10,14,"B","Deaths","Lower",0,17,2,82,0,138,37,40,89,33,38,148,24,114
"AFG",2005,10,14,"B","Deaths","Point",0,199,99,271,2,586,112,124,266,106,121,462,35,140
"AFG",2005,10,14,"B","Deaths","Upper",1,437,335,492,5,1136,210,234,478,194,235,848,47,164
"AFG",2005,10,14,"B","Fraction","Lower",0,0.01157,0.00079,0.07985,0.00087,0.11692,0.03141,0.03498,0.08292,0.02805,0.03489,0.14196,0.00733,0.03229
"AFG",2005,10,14,"B","Fraction","Point",0.00012,0.07884,0.03927,0.10724,0.00098,0.23229,0.04421,0.04918,0.10551,0.04184,0.04808,0.18319,0.01387,0.0554
"AFG",2005,10,14,"B","Fraction","Upper",0.00026,0.11032,0.16466,0.14342,0.00102,0.28476,0.05691,0.06717,0.127,0.05788,0.06123,0.22312,0.03732,0.13333
"AFG",2005,10,14,"B","Rate","Lower",0,0.02675,0.00325,0.125,0.00122,0.21016,0.05737,0.06066,0.13531,0.05133,0.05813,0.22527,0.03633,0.17415
"AFG",2005,10,14,"B","Rate","Point",0.00046,0.30149,0.15017,0.41009,0.00375,0.8883,0.16906,0.18807,0.40348,0.16,0.18386,0.70053,0.05304,0.21185
"AFG",2005,10,14,"B","Rate","Upper",0.00126,0.6597,0.50653,0.74355,0.00664,1.71702,0.31702,0.35268,0.72165,0.29336,0.35424,1.28284,0.07126,0.2485
"AFG",2006,10,14,"B","Deaths","Lower",0,24,1,84,0,139,38,39,89,34,38,150,15,296
"AFG",2006,10,14,"B","Deaths","Point",0,206,85,262,2,601,107,119,263,106,118,443,24,362
"AFG",2006,10,14,"B","Deaths","Upper",1,435,299,484,4,1129,201,223,473,197,229,792,33,406
"AFG",2006,10,14,"B","Fraction","Lower",0,0.01061,0.00063,0.07021,0.00066,0.12551,0.0273,0.03047,0.0742,0.02609,0.03061,0.12499,0.00443,0.08442
"AFG",2006,10,14,"B","Fraction","Point",0.00013,0.07627,0.03157,0.09705,0.0008,0.2226,0.03958,0.04417,0.09742,0.03943,0.04369,0.16415,0.00894,0.1342
"AFG",2006,10,14,"B","Fraction","Upper",0.00023,0.10483,0.11422,0.12823,0.00085,0.27559,0.0513,0.05953,0.11728,0.05412,0.05639,0.20172,0.02146,0.26818
"AFG",2006,10,14,"B","Rate","Lower",0,0.0357,0.00253,0.12368,0.00109,0.20456,0.05591,0.05851,0.13071,0.05124,0.05579,0.22098,0.02194,0.43352
"AFG",2006,10,14,"B","Rate","Point",0.00051,0.30105,0.12461,0.38307,0.00316,0.87863,0.15623,0.17435,0.38453,0.15564,0.17245,0.64792,0.03529,0.52971
"AFG",2006,10,14,"B","Rate","Upper",0.0012,0.63541,0.43605,0.70683,0.00547,1.64936,0.29244,0.32492,0.69031,0.28775,0.33447,1.15738,0.04829,0.59353
"AFG",2007,10,14,"B","Deaths","Lower",0,27,1,90,0,174,37,36,94,38,39,150,10,421
"AFG",2007,10,14,"B","Deaths","Point",0,220,75,271,2,641,107,116,269,110,118,430,18,519
"AFG",2007,10,14,"B","Deaths","Upper",2,456,311,519,5,1213,215,225,498,211,230,794,26,581
"AFG",2007,10,14,"B","Fraction","Lower",0,0.01241,0.00066,0.06489,0.00068,0.12181,0.02491,0.02684,0.06981,0.02437,0.02843,0.11053,0.00281,0.11707
"AFG",2007,10,14,"B","Fraction","Point",0.00014,0.07594,0.02605,0.09368,0.00085,0.22104,0.03695,0.04016,0.09276,0.03791,0.04081,0.14836,0.00616,0.17919
"AFG",2007,10,14,"B","Fraction","Upper",0.00029,0.10209,0.10947,0.12275,0.00092,0.27233,0.04843,0.05469,0.11259,0.05248,0.0534,0.18336,0.01469,0.33021
"AFG",2007,10,14,"B","Rate","Lower",0,0.03827,0.00253,0.12814,0.00126,0.24647,0.0528,0.05186,0.13333,0.05366,0.05637,0.21181,0.0141,0.59422
"AFG",2007,10,14,"B","Rate","Point",0.00057,0.31034,0.10646,0.38284,0.00347,0.90332,0.151,0.16412,0.37908,0.15493,0.16678,0.6063,0.02517,0.73229
"AFG",2007,10,14,"B","Rate","Upper",0.00151,0.64143,0.43796,0.73102,0.0061,1.70693,0.30181,0.31591,0.70019,0.29615,0.32321,1.11741,0.03667,0.81805
"AFG",2008,10,14,"B","Deaths","Lower",0,33,2,103,0,138,38,36,102,39,41,145,0,367
"AFG",2008,10,14,"B","Deaths","Point",0,251,84,317,2,748,119,123,299,123,130,451,0,453
"AFG",2008,10,14,"B","Deaths","Upper",2,535,383,611,5,1446,242,241,563,250,255,857,0,504
"AFG",2008,10,14,"B","Fraction","Lower",0,0.01424,0.00065,0.07384,0.0006,0.12654,0.02635,0.02711,0.07393,0.02568,0.03038,0.10984,0,0.09019
"AFG",2008,10,14,"B","Fraction","Point",0.00015,0.08107,0.02722,0.10238,0.00073,0.24126,0.03822,0.03968,0.09648,0.03961,0.04188,0.14528,0,0.14605
"AFG",2008,10,14,"B","Fraction","Upper",0.00035,0.10767,0.11683,0.13489,0.00078,0.29425,0.05026,0.05372,0.11713,0.05453,0.05405,0.17878,0,0.29146
"AFG",2008,10,14,"B","Rate","Lower",0,0.04602,0.00287,0.1398,0.00106,0.18805,0.0529,0.04992,0.13924,0.05318,0.05688,0.19732,0,0.49804
"AFG",2008,10,14,"B","Rate","Point",0.00063,0.34067,0.11438,0.43021,0.00307,1.0138,0.1606,0.16674,0.40542,0.16645,0.17598,0.61048,0,0.61372
"AFG",2008,10,14,"B","Rate","Upper",0.00189,0.72345,0.51805,0.82634,0.00561,1.95623,0.3271,0.3258,0.76163,0.3382,0.34424,1.15879,0,0.68205
"AFG",2009,10,14,"B","Deaths","Lower",0,24,2,97,0,132,33,32,90,37,37,131,2,390
"AFG",2009,10,14,"B","Deaths","Point",0,261,94,341,2,798,121,121,309,127,131,437,7,501
"AFG",2009,10,14,"B","Deaths","Upper",2,607,375,706,4,1678,263,254,642,274,282,892,13,560
"AFG",2009,10,14,"B","Fraction","Lower",0,0.01195,0.00062,0.07304,0.00043,0.11232,0.0244,0.02467,0.06997,0.02472,0.02842,0.09734,0.00066,0.08923
"AFG",2009,10,14,"B","Fraction","Point",0.00015,0.08029,0.02887,0.10497,0.00054,0.24559,0.03731,0.03714,0.095,0.03899,0.04042,0.13433,0.00219,0.1542
"AFG",2009,10,14,"B","Fraction","Upper",0.00031,0.10854,0.132,0.13882,0.00059,0.30127,0.04887,0.05045,0.11642,0.05366,0.05239,0.16639,0.00657,0.32042
"AFG",2009,10,14,"B","Rate","Lower",0,0.03141,0.00296,0.12626,0.00072,0.17277,0.04411,0.04272,0.11788,0.04867,0.04937,0.17093,0.00388,0.50762
"AFG",2009,10,14,"B","Rate","Point",0.00063,0.33912,0.12194,0.44337,0.00228,1.03731,0.15759,0.15687,0.40126,0.16468,0.17072,0.56738,0.00925,0.6513
"AFG",2009,10,14,"B","Rate","Upper",0.0018,0.78614,0.48695,0.91499,0.0046,2.1742,0.34002,0.32862,0.8322,0.35518,0.36473,1.15607,0.01689,0.72702
"AFG",2010,10,14,"B","Deaths","Lower",0,20,1,92,0,124,32,28,82,33,34,106,18,405
"AFG",2010,10,14,"B","Deaths","Point",1,264,91,349,2,818,119,116,306,126,128,413,28,537
"AFG",2010,10,14,"B","Deaths","Upper",3,655,372,803,5,1894,274,260,691,295,303,917,38,606
"AFG",2010,10,14,"B","Fraction","Lower",0,0.00987,0.00054,0.07198,0.0005,0.10831,0.02343,0.02256,0.06641,0.02317,0.02612,0.08722,0.00365,0.0875
"AFG",2010,10,14,"B","Fraction","Point",0.0003,0.08015,0.0277,0.10585,0.00067,0.24799,0.03612,0.03512,0.09287,0.03811,0.03884,0.12519,0.00839,0.1627
"AFG",2010,10,14,"B","Fraction","Upper",0.00061,0.1081,0.10987,0.14013,0.00074,0.30535,0.04744,0.0483,0.11453,0.05293,0.05126,0.15583,0.02296,0.34961
"AFG",2010,10,14,"B","Rate","Lower",0,0.02576,0.00233,0.11533,0.00074,0.15558,0.04098,0.03588,0.10231,0.04163,0.04254,0.13269,0.02237,0.50453
"AFG",2010,10,14,"B","Rate","Point",0.00123,0.32887,0.11366,0.43433,0.00275,1.01756,0.14821,0.14411,0.38107,0.15637,0.15937,0.51368,0.03443,0.6676
"AFG",2010,10,14,"B","Rate","Upper",0.00347,0.81277,0.46218,0.99518,0.00595,2.34963,0.33915,0.32258,0.85656,0.36499,0.37545,1.13749,0.04728,0.75268
"AFG",2011,10,14,"B","Deaths","Lower",0,18,2,91,0,96,28,27,75,30,30,98,1,431
"AFG",2011,10,14,"B","Deaths","Point",1,255,96,346,3,807,114,111,296,122,122,386,5,579
"AFG",2011,10,14,"B","Deaths","Upper",3,662,489,830,6,1886,265,262,684,289,289,877,10,655
"AFG",2011,10,14,"B","Fraction","Lower",0,0.00914,0.00056,0.07302,0.00061,0.08208,0.0224,0.02174,0.06525,0.02276,0.02533,0.08263,0.00033,0.09661
"AFG",2011,10,14,"B","Fraction","Point",0.0003,0.07875,0.02959,0.10671,0.00083,0.24891,0.03524,0.03418,0.09112,0.0375,0.03761,0.11905,0.00158,0.17864
"AFG",2011,10,14,"B","Fraction","Upper",0.0006,0.10902,0.16804,0.14194,0.00091,0.30969,0.04686,0.04711,0.11267,0.05225,0.04927,0.14915,0.00576,0.38499
"AFG",2011,10,14,"B","Rate","Lower",0,0.02224,0.00254,0.10921,0.00083,0.11545,0.03383,0.03247,0.09079,0.0366,0.03629,0.11769,0.00119,0.51693
"AFG",2011,10,14,"B","Rate","Point",0.00117,0.30584,0.11492,0.41442,0.00322,0.96667,0.13686,0.13274,0.35388,0.14564,0.14606,0.46234,0.00614,0.69377
"AFG",2011,10,14,"B","Rate","Upper",0.00345,0.78981,0.58511,0.99175,0.00704,2.25316,0.31619,0.3122,0.81762,0.34519,0.34518,1.04733,0.01197,0.78338
"AFG",2012,10,14,"B","Deaths","Lower",0,22,1,77,0,132,26,24,65,26,26,83,16,482
"AFG",2012,10,14,"B","Deaths","Point",1,228,94,319,1,733,103,101,267,109,108,340,26,676
"AFG",2012,10,14,"B","Deaths","Upper",3,583,394,750,3,1667,237,246,593,254,258,772,36,771
"AFG",2012,10,14,"B","Fraction","Lower",0,0.01027,0.00058,0.06706,0,0.12119,0.02006,0.0204,0.05736,0.02128,0.02309,0.07204,0.0038,0.12293
"AFG",2012,10,14,"B","Fraction","Point",0.00028,0.07356,0.03037,0.1026,0.00037,0.23598,0.0331,0.03257,0.08594,0.0352,0.03481,0.10941,0.00828,0.21753
"AFG",2012,10,14,"B","Fraction","Upper",0.00061,0.105,0.11364,0.1352,0.00043,0.29916,0.04495,0.04521,0.10795,0.049,0.04633,0.13784,0.02324,0.43647
"AFG",2012,10,14,"B","Rate","Lower",0,0.02585,0.0023,0.08926,0,0.15344,0.03013,0.02876,0.07557,0.03118,0.0308,0.09693,0.01849,0.55813
"AFG",2012,10,14,"B","Rate","Point",0.001,0.26393,0.10897,0.36813,0.00133,0.8467,0.11876,0.11686,0.30835,0.1263,0.1249,0.39257,0.02971,0.7805
"AFG",2012,10,14,"B","Rate","Upper",0.00334,0.6725,0.45415,0.86466,0.00297,1.92182,0.27239,0.28289,0.68387,0.29264,0.29682,0.89011,0.04158,0.88981
"AFG",2013,10,14,"B","Deaths","Lower",0,11,2,79,0,119,23,24,64,24,25,83,5,482
"AFG",2013,10,14,"B","Deaths","Point",1,207,93,298,1,672,94,96,245,100,97,307,11,685
"AFG",2013,10,14,"B","Deaths","Upper",3,519,326,669,3,1493,214,216,535,225,221,674,17,787
"AFG",2013,10,14,"B","Fraction","Lower",0,0.00746,0.00078,0.06633,0,0.11129,0.01969,0.02035,0.05799,0.02041,0.02196,0.06988,0.00131,0.13755
"AFG",2013,10,14,"B","Fraction","Point",0.00028,0.07133,0.03212,0.10235,0.00037,0.23119,0.03243,0.03292,0.0842,0.03448,0.03352,0.10543,0.00367,0.23569
