"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2017,10,14,"B",377761,3.02629,0.03718,0.0646,0.02214,0.05649,0.08729,0.16139,0.02941,0.06895,0.15659,0.06518,0.06093,0.15767,0.00145,0.03075
"World",2018,10,14,"B",372114,2.95514,0.03545,0.06677,0.02164,0.05729,0.08491,0.1664,0.02908,0.07096,0.1573,0.06472,0.06126,0.16115,0.00205,0.02103
"World",2019,10,14,"B",368151,2.89793,0.03278,0.068,0.02125,0.05717,0.0858,0.16819,0.02878,0.07285,0.15862,0.06413,0.06123,0.16453,0.00081,0.01585
"East Asia and Pacific",2000,10,14,"B",89436,2.21217,0.00037,0.03308,0.03142,0.02384,0.00356,0.10426,0.03824,0.11661,0.22154,0.19073,0.09813,0.1335,0.00394,0.00078
"East Asia and Pacific",2001,10,14,"B",85592,2.14189,0.00112,0.03361,0.03169,0.02333,0.00319,0.10365,0.03861,0.11839,0.22225,0.18784,0.09806,0.13397,0.00372,0.00055
"East Asia and Pacific",2002,10,14,"B",80816,2.08155,0.00186,0.03403,0.03216,0.02322,0.00327,0.10471,0.03891,0.11905,0.22233,0.18442,0.09701,0.13453,0.00348,0.00101
"East Asia and Pacific",2003,10,14,"B",75567,2.0308,0.00223,0.03414,0.03298,0.02312,0.00352,0.10693,0.03947,0.11966,0.22367,0.17892,0.09549,0.13577,0.00312,0.00098
"East Asia and Pacific",2004,10,14,"B",86816,2.44161,0.0025,0.02881,0.0273,0.01877,0.00293,0.08789,0.03239,0.09674,0.18342,0.14169,0.0762,0.11085,0.19038,0.00014
"East Asia and Pacific",2005,10,14,"B",66398,1.93824,0.00408,0.03661,0.03474,0.02272,0.00405,0.10817,0.04034,0.11804,0.22928,0.16919,0.09161,0.13554,0.00474,0.00089
"East Asia and Pacific",2006,10,14,"B",62773,1.88738,0.00375,0.03537,0.03503,0.02165,0.00371,0.10615,0.03934,0.11854,0.23017,0.16474,0.09029,0.13406,0.01634,0.00087
"East Asia and Pacific",2007,10,14,"B",59866,1.83662,0.00419,0.03519,0.03538,0.02043,0.00394,0.10562,0.03914,0.12229,0.24053,0.15854,0.09253,0.13566,0.00552,0.00102
"East Asia and Pacific",2008,10,14,"B",74578,2.31586,0.00364,0.02551,0.02658,0.01476,0.00357,0.0761,0.02809,0.08401,0.17227,0.09815,0.06096,0.09421,0.3119,0.00024
"East Asia and Pacific",2009,10,14,"B",55358,1.73597,0.00549,0.03691,0.03691,0.01812,0.00473,0.09835,0.03695,0.12641,0.24437,0.15273,0.09633,0.13697,0.00511,0.00061
"East Asia and Pacific",2010,10,14,"B",53224,1.68661,0.00614,0.0362,0.03648,0.01713,0.00551,0.09726,0.03719,0.12449,0.24375,0.1494,0.09897,0.14225,0.00468,0.00056
